"text","created_at","geo","lang","place","coordinates","user.favourites_count","user.statuses_count","user.description","user.location","user.id","user.created_at","user.verified","user.following","user.url","user.listed_count","user.followers_count","user.default_profile_image","user.utc_offset","user.friends_count","user.default_profile","user.name","user.lang","user.screen_name","user.geo_enabled","user.profile_background","user.profile_image_url_https","user.time_zone","id","favorite_count","retweeted","source","favorited","retweet_count","hashtags","urls","reply","mentions"
"La edición digital de Marmomac avanza las empresas que participarán

https://t.co/sf3NeQvNUh

#marmomac #expositores https://t.co/k2nbLXEysX","2020-09-19 08:44:38","","es","","",658,6501,"Periódico digital de la industria de la piedra natural.
Digital newspaper on natural stone industry","",749649811,"2012-08-10 16:33:00",False,False,"http://t.co/ytfJSlmOfO",39,3323,False,"",2216,False,"Focus Piedra","","Focuspiedra",False,"DBE9ED","https://pbs.twimg.com/profile_images/973229140303368192/5oiLUnBF_normal.jpg","",1307239162953830403,0,False,"Twitter Web App",False,0," marmomac expositores"," https://www.focuspiedra.com/la-edicion-digital-de-marmomac-avanza-las-empresas-que-participaran/","",""
"🔴 ULTIMA HORA I Marmomac confirma que mantiene las fechas de la edición 2020

https://t.co/Q6gJqxvT0J

#MARMOMAC https://t.co/IZhptF3N1L","2020-04-07 10:29:15","","es","","",658,6501,"Periódico digital de la industria de la piedra natural.
Digital newspaper on natural stone industry","",749649811,"2012-08-10 16:33:00",False,False,"http://t.co/ytfJSlmOfO",39,3323,False,"",2216,False,"Focus Piedra","","Focuspiedra",False,"DBE9ED","https://pbs.twimg.com/profile_images/973229140303368192/5oiLUnBF_normal.jpg","",1247471491593187333,1,False,"Twitter Web App",False,1," MARMOMAC"," https://www.focuspiedra.com/marmomac-confirma-que-mantiene-las-fechas-de-la-edicion-2020/","",""
"W tym roku targów nie ma z wiadomych przyczyn więc warto powspominać #marmomacc #marmomac #italy🇮🇹 #verona #stone #marble #marmor #marmorstone #kamieniarstwowarszawa #magazynkamienia w: KamieniarstwoWarszawa https://t.co/JNacfjOASO","2020-09-24 06:48:00","{'type': 'Point', 'coordinates': [52.12294, 21.01887]}","pl","Place(_api=<tweepy.api.API object at 0x112ed9860>, id='535f0c2de0121451', url='https://api.twitter.com/1.1/geo/id/535f0c2de0121451.json', place_type='city', name='Varsavia', full_name='Varsavia, Polonia', country_code='PL', country='Polonia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x112ed9860>, type='Polygon', coordinates=[[[20.8525518, 52.0977088], [21.2710282, 52.0977088], [21.2710282, 52.3679617], [20.8525518, 52.3679617]]]), attributes={})","{'type': 'Point', 'coordinates': [21.01887, 52.12294]}",3,65,"Lubię dobrą muzykę, spacery, basen, czas spędzony z rodziną oraz pracować na 100 %","Warszawa, Polska",1228383455836332037,"2020-02-14 18:21:14",False,False,"https://t.co/R6i0l1E06Q",0,0,False,"",6,True,"Tomasz Kamieniarstwo Warszawa","","Tomasz20893624",True,"F5F8FA","https://pbs.twimg.com/profile_images/1228384050555084809/CorTIsi6_normal.jpg","",1309021749707710464,0,False,"Instagram",False,0," marmomacc marmomac italy verona stone marble marmor marmorstone kamieniarstwowarszawa magazynkamienia"," https://www.instagram.com/p/CFgoCIcFHah/?igshid=1ucfcofal4lh4","",""
"Varato il calendario di #Veronafiere per il secondo semestre 2020. Si riprende con #Marmomac a fine settembre. #Fieracavalli per la prima volta suddivisa in due finesettimana. @pressVRfiere 
https://t.co/ydrUleu11q","2020-06-09 08:13:20","","it","","",30,37915,"Giornale online - il telegiornale storico di Verona è ora punto di riferimento sul web: Verona in ogni suo istante","Verona",389339399,"2011-10-12 07:47:53",False,False,"",99,4884,False,"",32,False,"TgVerona Telenuovo","","TgVerona",False,"ABB8C2","https://pbs.twimg.com/profile_images/1125725159778922503/QRMxiOMn_normal.jpg","",1270267726095843329,1,False,"Twitter Web App",False,2," Veronafiere Marmomac Fieracavalli"," https://bit.ly/2XIOoqj",""," pressVRfiere"
"Karacabey Black
#blackmarble #follow #marbleslabs #marble #naturalmarble #mimarlık #doğaltaş #mermer #turkeymarble #marbledesign #architect #architecture #marmomac #stone #tile #stayathome #evdekal #mimar #hotel #decoration #moderndesign #table #interordesign #designe #coverings https://t.co/G3z2aHb47f","2020-06-23 13:02:31","","tr","","",0,20,"Supplier of Marble-Travertine-Onyx Blocks & Slab and Tiles since 1979
Shared photos of materials belong to own quarries and produced in our factories","",1252214686751301632,"2020-04-20 12:37:13",False,False,"",0,6,False,"",1,True,"Çiftyıldız Marble Group","","CiftyG",False,"F5F8FA","https://pbs.twimg.com/profile_images/1252215043774722051/XUpWgpU1_normal.jpg","",1275413929456533504,2,False,"Twitter for Android",False,0," blackmarble follow marbleslabs marble naturalmarble mimarlık doğaltaş mermer turkeymarble marbledesign architect architecture marmomac stone tile stayathome evdekal mimar hotel decoration moderndesign table interordesign designe coverings","","1275413894346018819",""
"Only a few days before starting Marmomac Restart Digital 2020!
The world's largest marble community meets online this year.
https://t.co/MUnXBAQRag
#luminastone #luminaquartzstone #MarmomacRestart #Marmomac #marble #marmo #networking #marketing #exhibit","2020-09-25 11:01:36","","en","","",14,125,"THE NEW QUARTZ ERA
Lumina Stone brings together the benefits & durability of engineered stone, with the look of high-end natural stone.","Temse, Belgium",1103216068154347520,"2019-03-06 08:49:42",False,False,"https://t.co/8GdN5qeINq",0,9,False,"",93,True,"Lumina Stone","","LuminaStone",False,"F5F8FA","https://pbs.twimg.com/profile_images/1103216213096833024/t3UagV07_normal.png","",1309447958639923200,0,False,"Metricool",False,0," luminastone luminaquartzstone MarmomacRestart Marmomac marble marmo networking marketing exhibit"," http://mtr.cool/zjuukasolx","",""
"#Marmomac will be regularly held from 30 September to 3 October 2020.

Will you attend it? https://t.co/4BzyOaYeTB","2020-06-19 08:23:19","","en","","",86,203,"","",1022385052900970496,"2018-07-26 07:36:06",False,False,"",0,36,False,"",413,True,"Adela G.S Slate","","AdelaSlate",True,"F5F8FA","https://pbs.twimg.com/profile_images/1022394899834884097/w1XEQaBh_normal.jpg","",1273894113981526016,0,False,"Twitter Web App",False,0," Marmomac","","",""
"A principal feira internacional do setor de rochas ornamentais lança em 2020 sua primeira edição totalmente digital com a Marmomac Re-Start Digital Edition. Basta clicar e participar:
https://t.co/EHBTAg0FL0
#rochas #marmomac #madeinitaly #marmores #granitos #Marmoresegranitos https://t.co/s1vhI8YC8p","2020-09-21 10:05:47","","pt","","",5,126,"Agência do Governo Italiano que promove o intercâmbio comercial e tecnológico entre a Itália e os demais países.","São Paulo",292943643,"2011-05-04 14:05:51",False,False,"https://t.co/9t7q7JuHCu",13,292,False,"",223,False,"ITA Brasil","","icesanpaolo",False,"44735B","https://pbs.twimg.com/profile_images/786236101476356097/kbHarelN_normal.jpg","",1307984360927367173,2,False,"Twitter for Android",False,0," rochas marmomac madeinitaly marmores granitos Marmoresegranitos"," http://www.marmomac.com/en","",""
"#buildex #batimat2019 #mosbuild2019 #Мосбилд2019 #batimatrussia2019 #mosaictile #stonetile #walltile #mosaici #cersaie2019 #cersaie #ceramicsofitaly #marmore #marmomac #cantonfair2019 #kbis2019 #мозаика #metal https://t.co/jbSlvsMKd6","2020-04-27 01:15:14","","und","","",223,146,"yzmosaic","China foshan",1251325118724227072,"2020-04-18 01:42:20",False,False,"https://t.co/BWwQzkAIHK",0,21,False,"",204,True,"yzmosaic","","yzmosaic",False,"F5F8FA","https://pbs.twimg.com/profile_images/1307589356174016512/DFvSo5tX_normal.jpg","",1254579826784165889,0,False,"Instagram",False,0," buildex batimat2019 mosbuild2019 Мосбилд2019 batimatrussia2019 mosaictile stonetile walltile mosaici cersaie2019 cersaie ceramicsofitaly marmore marmomac cantonfair2019 kbis2019 мозаика metal"," https://www.instagram.com/p/B_dytiInc_M/?igshid=v5dthiwm9ohy","",""
"With @Marmomacchine #ReStart Digital Edition, the largest #marble community restarts digitally: three days of networking and events of #Marmomac Academy, during which visitors can explore the global marble market plans, getting in contact with exhibitors from all over the world. https://t.co/clTn2LCGX7","2020-09-20 05:57:33","","en","","",3104,1652,"ICE/ITAlian Trade Agency office for UAE, PAKISTAN & OMAN; RT not endorsement","Dubai, Emirati Arabi Uniti",788009088647036928,"2016-10-17 13:29:42",False,False,"https://t.co/fuS94h2XeU",11,1442,False,"",1915,False,"ITA Dubai","","ITADubai",True,"000000","https://pbs.twimg.com/profile_images/788009569075200001/tSOgOfDU_normal.jpg","",1307559505065115651,4,False,"Twitter Web App",False,0," ReStart marble Marmomac","","1306848814469451777"," Marmomacchine"
