"text","created_at","geo","lang","place","coordinates","user.favourites_count","user.statuses_count","user.description","user.location","user.id","user.created_at","user.verified","user.following","user.url","user.listed_count","user.followers_count","user.default_profile_image","user.utc_offset","user.friends_count","user.default_profile","user.name","user.lang","user.screen_name","user.geo_enabled","user.profile_background","user.profile_image_url_https","user.time_zone","id","favorite_count","retweeted","source","favorited","retweet_count","hashtags","urls","reply","mentions"
"#MadeInItaly #stone #technology is absolutely #lit 💡
#Kudos to @Marmo_mac @ExtraITADesign 👏 for putting the spotlight on world class #Italian #Stone &amp; #Design #Technology You Rock 😉 
&amp; #Cheers to our Canadian #architect delegation 💼🍁🤝 visiting #marmomac2018 🥂 https://t.co/S58WDAYN49","2018-09-26 18:13:53","","en","","",4230,1024,"Office of the Italian Trade Agency in Toronto. ITA Toronto promotes trade, business, and partnerships between Italy and Canada. #MadeInItaly","Toronto, Ontario",786658543952887808,"2016-10-13 20:03:07",False,False,"https://t.co/HUZfuHALLa",15,1534,False,"",902,False,"ITA Toronto","","ITAToronto",True,"000000","https://pbs.twimg.com/profile_images/787025031540908032/bAVQhsma_normal.jpg","",1045013606763565056,9,False,"Twitter Web Client",False,2," MadeInItaly stone technology lit Kudos Italian Stone Design Technology Cheers architect marmomac2018","",""," Marmo_mac ExtraITADesign"
"Prussiani Engineering is pleased to invite you at Marmomac, Verona, Italy.
26-29 September, 2018
Hall 3, Stand A15-A31/B24-B40
We look forward to seeing you there, you will be welcome!
#marmomac #marmomac2018 #verona #cnc #cuttingmarble

https://t.co/wh0nVmH8GR","2018-08-06 15:58:45","","en","","",51,221,"A company established with the goal of designing and engineering top quality #CNC machines for the processing of #marble, #granite and #stone.","Albano Sant'Alessandro",3903616394,"2015-10-15 14:32:39",False,False,"http://t.co/JF94pIlkmS",3,487,False,"",473,False,"Prussiani","","prussiani_eng",False,"000000","https://pbs.twimg.com/profile_images/910409216640331778/bK6FbYOf_normal.jpg","",1026497816699592704,2,False,"Twitter Web Client",False,0," marmomac marmomac2018 verona cnc cuttingmarble"," https://www.prussiani.com/fairs/marmomac-2018-verona/","",""
"#Marmomac Industry Vision: which is the market accessibility for the different countries? 
#MarmomacIndustryVision: your essential source of information ➡️https://t.co/ZKAWTDodIu 
https://t.co/bMmNKAJBpJ","2018-09-17 16:05:31","","en","","",433,1988,"The Biggest #Stone + #Design + #Tecnology International Trade #Fair, 30-03 October 2020, Verona, Italy","Italia",292251146,"2011-05-03 10:40:26",False,False,"https://t.co/GoqVfk5jbp",34,2118,False,"",193,False,"marmo_mac","","Marmo_mac",True,"E81794","https://pbs.twimg.com/profile_images/1050390788042104832/_IXygJ6F_normal.jpg","",1041719811238191105,5,False,"Twitter Web Client",False,2," Marmomac MarmomacIndustryVision"," https://incoming.marmomac.com/en/data https://youtu.be/65C8imB1mF8","",""
"Marmomac introduces the Young Stone Project #stone #marmomac #italy https://t.co/w2jDaE1z5h","2018-08-02 19:00:04","","en","","",29,1506,"Follow for latest breaking news, products, articles, & events in the stone industry. Stone fabrication, contracting, & arch/design are all covered in detail.","Troy, MI",34273255,"2009-04-22 13:39:34",False,False,"http://t.co/pO4y8XxiBW",40,3383,False,"",22,False,"Stone World","","StoneWrld",False,"8B542B","https://pbs.twimg.com/profile_images/487601222476496896/AjywQhRR_normal.jpeg","",1025093894059569153,0,False,"engage121",False,0," stone marmomac italy"," https://www.stoneworld.com/articles/90256-marmomac-introduces-the-young-stone-project","",""
"Closing day of MARMOMAC 2018: Last day to meet PANMINQUARTZ at Hall 8 Booth H4C till 6pm. Thanks for your visiting!
https://t.co/ZX3Bf1ssZB

#Marmomac #panminquartz #quartzcountertops #quartzsurfaces #quartzslabs 
#kitchencounter #kitchendesign #benchtop #expo2018 #Italy #Verona https://t.co/0riW1dyDYj","2018-09-29 07:35:11","","en","","",23,211,"PANMINQUARTZ® is an innovative manufacturer of quartz slabs, which can be applied in residential and commercial interior decoration.","Fujian",949183207198547968,"2018-01-05 07:38:06",False,False,"https://t.co/avRPmbzh0B",0,16,False,"",67,False,"PANMINQUARTZ","","PANMINQUARTZ",True,"000000","https://pbs.twimg.com/profile_images/963314873982640128/3fucXOv2_normal.jpg","",1045940034984075264,0,False,"Twitter Web Client",False,0," Marmomac panminquartz quartzcountertops quartzsurfaces quartzslabs kitchencounter kitchendesign benchtop expo2018 Italy Verona"," https://www.panmin.com","",""
"We wanted to take a moment to say thank you! #marmomac #marmomac2018 @Marmo_mac https://t.co/TWb0Qgn9Ca","2018-10-01 20:22:06","","en","","",42,7043,"Tenax manufactures #polyesters, #epoxies, surface treatments, #abrasives, and specialty resins. 7 branches throughout the world. Tenax USA is the US branch.","Charlotte, NC",1863838362,"2013-09-14 13:42:22",False,False,"http://t.co/5pqAYrDXdi",5,284,False,"",177,True,"TenaxUSA","","TenaxUSA",True,"C0DEED","https://pbs.twimg.com/profile_images/378800000456075053/fd92bec38966979ddfc144ed3c238e2c_normal.jpeg","",1046857809038626816,1,False,"Twitter Web Client",False,0," marmomac marmomac2018","",""," Marmo_mac"
"Intermac at #Marmomac2018 is ALL IN ONE! 
Come and visit us in Hall 5, 26-29 September! cc @Marmo_mac https://t.co/8zgDa905Yd","2018-06-05 10:33:23","","en","","",265,578,"","",3099255850,"2015-03-20 12:58:25",False,False,"",5,416,False,"",179,False,"Intermac","","IntermacHQ",True,"C9CACC","https://pbs.twimg.com/profile_images/950663965134196736/XVqhd6Va_normal.jpg","",1003947886147768320,2,False,"Twitter Web Client",False,0," Marmomac2018"," https://twitter.com/pressVRfiere/status/1003932451125809152",""," Marmo_mac"
"#marmomac2018 #marmomacc #Verona #CNCOWNERS #CNCO #stonetools #technologies #granite #6agosto https://t.co/wxz1MSX2cr","2018-08-06 11:10:15","","und","","",2254,530,"#Cnc #Technologies - #Stone & #glass division - meet us at #marmomac #tise","Italia",920241869413666816,"2017-10-17 10:55:33",False,False,"https://t.co/FI5rsMK2aN",1,373,False,"",2229,False,"Francesca","","Francesca_Klara",False,"000000","https://pbs.twimg.com/profile_images/1212709173391233025/AlkTivnI_normal.jpg","",1026425212282314752,3,False,"Twitter Web App",False,0," marmomac2018 marmomacc Verona CNCOWNERS CNCO stonetools technologies granite 6agosto","","",""
"Every part of the process of stone production is on display at MARMO+MAC. From extraction, to raw cut blocks, to beautiful finished products (with an integral heating element!) #MARMOMAC #CommonWealth #ComArchs #architecture #interiordesign #betterdesign #respecttheprocess https://t.co/0Yl4syRnGA","2018-09-28 20:10:11","","en","","",227,741,"As a full service architecture and interior design firm, Commonwealth Architects creates innovative sustainable designs that help revitalize communities.","Richmond, Virginia",917506998,"2012-10-31 19:30:15",False,False,"https://t.co/giFoqks1AX",20,469,False,"",1167,False,"ComArchs","","ComArchs",True,"70ACB4","https://pbs.twimg.com/profile_images/952984102424272896/sUESmfRk_normal.jpg","",1045767650079461376,1,False,"Twitter for Android",False,0," MARMOMAC CommonWealth ComArchs architecture interiordesign betterdesign respecttheprocess","","",""
"#Marmomac is less than 2 weeks away! We're excited to be attending, along with powerhouses #Cms #Brembana, and #Bovone. We hope to see you there! 

26th - 29th September 2018 @ Verona Fiere https://t.co/lTX9LL3BqT","2018-09-15 14:15:29","","en","","",5,2188,"Call 01948 842010","Whichurch",775250891171622912,"2016-09-12 08:33:10",False,False,"https://t.co/9E2aCKULvq",0,98,False,"",431,False,"Stone Division","","StoneandGlass_S",False,"000000","https://pbs.twimg.com/profile_images/1143192272638488578/RvgFxM-T_normal.png","",1040967341398532097,0,False,"SocialPilot.co",False,0," Marmomac Cms Brembana Bovone","","",""
"Marmomac show - Verona
Stand Prussiani Engineering: Hall 3 Stand A15 / A31 - B24 / B40
Come visit us!

#marmomac #marmomac2018 #marmomac18 #prussiani #cuttingmarble #marble #granite #naturalstone #verona #veronashow #marmomacc #marmomacc18 #cnc https://t.co/9fxH1tb1bB","2018-09-28 11:47:46","","en","","",51,221,"A company established with the goal of designing and engineering top quality #CNC machines for the processing of #marble, #granite and #stone.","Albano Sant'Alessandro",3903616394,"2015-10-15 14:32:39",False,False,"http://t.co/JF94pIlkmS",3,487,False,"",473,False,"Prussiani","","prussiani_eng",False,"000000","https://pbs.twimg.com/profile_images/910409216640331778/bK6FbYOf_normal.jpg","",1045641212542296064,2,False,"Twitter Web Client",False,0," marmomac marmomac2018 marmomac18 prussiani cuttingmarble marble granite naturalstone verona veronashow marmomacc marmomacc18 cnc","","",""
"Marble and lichens @marmo_mac @lavagnolimarmi #lavagnoli #marmomac2018 #marbledesigns #marbleart #marbleandlichens #arkitektur #designfashion #designs #architecturestudents #architectoursLND18 #architectours... https://t.co/GIalQFUH2p","2018-09-28 14:31:49","","de","","",0,182,"Italian marbles: columns, buildings trade, stairs all from the soul!","Italy",123191959,"2010-03-15 08:51:52",False,False,"http://t.co/W0lsEC76oq",0,26,False,"",61,False,"Lavagnoli marmi","","lavagnolimarmi",True,"C0DEED","https://pbs.twimg.com/profile_images/1019238672946860032/VrtotS_G_normal.jpg","",1045682496455630850,0,False,"Facebook",False,0," lavagnoli marmomac2018 marbledesigns marbleart marbleandlichens arkitektur designfashion designs architecturestudents architectoursLND18 architectours"," https://www.facebook.com/356380157334/posts/10155801229607335/",""," Marmo_mac lavagnolimarmi"
"#Marmomac Pina del Conte, Senior Project Manager dello studio Rene Gonzalez Architect, seconda ospite del convegno. Ci racconta lo sviluppo urbano e architettonico di Miami https://t.co/opdjVHm6g2","2018-09-27 09:26:09","","it","","",692,2607,"More than a magazine!","",2976464283,"2015-01-13 14:23:58",False,False,"http://t.co/74ABMaX8nU",38,1184,False,"",258,True,"Platform AD","","Platform_AD",True,"C0DEED","https://pbs.twimg.com/profile_images/710601026664062976/VKzwAIgl_normal.jpg","",1045243185172295680,3,False,"Twitter Web Client",False,2," Marmomac","","",""
"The latest technologies and tools at #Marmomac #stone #exhibition at #Verona , #Italy

Visit: https://t.co/iJxeLUGsci

#marmomacc #marmomacc2018 #marmomaccverona #veronafiere #raadstone #marble #slab #tile #blocks #marblequarry

#ورونا #نمایشگاه_سنگ #راد_استون #دهبید_شایان https://t.co/D6681Num5P","2018-10-13 13:57:00","","en","","",12,51,"Exploitation and Production of 
SHAYAN Marble","Islamic Republic of Iran",1018100880787193857,"2018-07-14 11:52:20",False,False,"https://t.co/xfloEEowhr",1,85,False,"",128,False,"Raad Stone","","raad_stone",False,"000000","https://pbs.twimg.com/profile_images/1045668567662780417/y8UM2y5c_normal.jpg","",1051109552190410755,4,False,"Twitter Web Client",False,0," Marmomac stone exhibition Verona Italy marmomacc marmomacc2018 marmomaccverona veronafiere raadstone marble slab tile blocks marblequarry ورونا نمایشگاه_سنگ راد_استون دهبید_شایان"," http://www.raadstone.com","",""
"Continua M.Danese: ""#Veronafiere sempre più presente per sostenere lo sviluppo di #Marmomac dentro e fuori dai padiglioni, anche attraverso aumenti di capitale. 
Aumenta sempre di più l'interazione tra #marmo, tecnologia e design.""","2018-06-05 09:47:18","","it","","",433,1988,"The Biggest #Stone + #Design + #Tecnology International Trade #Fair, 30-03 October 2020, Verona, Italy","Italia",292251146,"2011-05-03 10:40:26",False,False,"https://t.co/GoqVfk5jbp",34,2118,False,"",193,False,"marmo_mac","","Marmo_mac",True,"E81794","https://pbs.twimg.com/profile_images/1050390788042104832/_IXygJ6F_normal.jpg","",1003936290021302272,0,False,"Twitter Web Client",False,0," Veronafiere Marmomac marmo","","",""
"""Ricordo di Donna"". Opera del grande artista Enzo Scatragli in collaborazione con Artemarmi -Tuberoni Heros c/o stand @cncHelios al @Marmo_mac .
#marmomac #theitalianstonetheatre #design #marbledesign #architecture #cncmachine #homedecor #kitchendesign #details #marble #stone https://t.co/3Ligmwovfd","2018-09-27 09:46:39","","it","","",2254,530,"#Cnc #Technologies - #Stone & #glass division - meet us at #marmomac #tise","Italia",920241869413666816,"2017-10-17 10:55:33",False,False,"https://t.co/FI5rsMK2aN",1,373,False,"",2229,False,"Francesca","","Francesca_Klara",False,"000000","https://pbs.twimg.com/profile_images/1212709173391233025/AlkTivnI_normal.jpg","",1045248345147691008,1,False,"Twitter Web Client",False,0," marmomac theitalianstonetheatre design marbledesign architecture cncmachine homedecor kitchendesign details marble stone","",""," cncHelios Marmo_mac"
"Welcome to visit us at #marmomac, 26-29 September 2018, Verona, Italy. Hall: 2/3, Stand: 7
https://t.co/9suNNrGscd","2018-09-25 06:49:47","","en","","",3,30,"The finer metal powder we make, the better products you will have. Like us on Facebook: https://t.co/NHbKp7Re0E","California, USA",1013958371307687936,"2018-07-03 01:31:28",False,False,"https://t.co/blkf7Q5wIG",0,123,False,"",90,True,"Sagwell","","sagwellusa2000",False,"F5F8FA","https://pbs.twimg.com/profile_images/1045491059986288645/3GqRoEE7_normal.jpg","",1044479058573029376,3,False,"Twitter Web Client",False,2," marmomac"," https://biteable.com/watch/sagwell-2007698/80d9451e8b7ef14fda4e6f49b0fb7ab4cc1fb50c","",""
"With today's press conference, the countdown to #Marmomac2018 has officially begun. We'll wait for you in #Veronafiere from September 26th to 29th. https://t.co/0z3XxOlD8x #Marmomac","2018-06-05 13:53:43","","en","","",433,1988,"The Biggest #Stone + #Design + #Tecnology International Trade #Fair, 30-03 October 2020, Verona, Italy","Italia",292251146,"2011-05-03 10:40:26",False,False,"https://t.co/GoqVfk5jbp",34,2118,False,"",193,False,"marmo_mac","","Marmo_mac",True,"E81794","https://pbs.twimg.com/profile_images/1050390788042104832/_IXygJ6F_normal.jpg","",1003998302424231937,4,False,"Twitter Web Client",False,1," Marmomac2018 Veronafiere Marmomac"," https://youtu.be/AzG2KFviKv4","",""
"#Marmomac | We are specialists in computerized numerical control (CNC), so we carry out all kinds of ornamental decorative elements 👍 Discover more about the Bateig universe at @Marmo_mac Hall 6 E-2 [#Construction | #NaturalStone | #Stone | #Architecture | #Projects] https://t.co/ybDGeWAOU3","2018-09-29 13:00:59","","en","","",322,4000,"Especialistas en explotación, preparación, distribución y colocación de la piedra Bateig | #BateigStone | #TheSingularStone | #PiedraNatural | #NaturalStone |","Novelda, Spain",498882860,"2012-02-21 14:39:04",False,False,"http://t.co/9jTQSzhTDx",56,682,False,"",1090,False,"Bateig Piedra Natural","","BateigStone",False,"000000","https://pbs.twimg.com/profile_images/875676652017201152/KP9EAfmA_normal.jpg","",1046022024605442048,2,False,"Hootsuite Inc.",False,0," Marmomac Construction NaturalStone Stone Architecture Projects","",""," Marmo_mac"
