"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"True","1.0","0","639.0","False","0.058","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"True","1.0","1","1275.0","False","0.0746","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"True","1.0","0","247.6","False","0.0505","0","0.2","0","0","0","0.2","0","0","0","0.2","0","0"
"True","1.0","2","468.3333","False","0.058","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","0","96.4","True","0.0072","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","189.4444","False","0.0248","9","0.2","1","0","9","0.2","1","0","9","0.2","1","0"
"False","0.0","0","1275.0","False","0.045","36","0.2","0","0","36","0.2","0","0","36","0.2","0","0"
"True","1.0","0","218.6667","False","0.0614","292","0.2","0","13","292","0.2","0","13","292","0.2","0","13"
"True","1.0","0","75.8333","False","0.0047","21","0.2","0","0","21","0.2","0","0","21","0.2","0","0"
"False","0.0","0","528.3333","True","0.0408","1442","0.2","0","11","1442","0.2","0","11","1442","0.2","0","11"
"True","1.0","0","154.4545","False","0.0251","17","0.2","5","0","17","0.2","5","0","17","0.2","5","0"
"False","0.0","1","89.5385","False","0.0036","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","105.7647","False","0.0135","1","0.2","0","0","1","0.2","0","0","1","0.2","0","0"
"False","0.0","0","92.8462","False","0.0037","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","427.0","False","0.0878","309","0.2","0","5","309","0.2","0","5","309","0.2","0","5"
"True","1.0","0","1275.0","False","0.0688","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"True","1.0","0","75.8333","False","0.0047","21","0.2","0","0","21","0.2","0","0","21","0.2","0","0"
"False","0.0","1","95.6","False","0.0072","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"False","0.0","0","274.6","False","0.0246","313","0.2","1","3","313","0.2","1","3","313","0.2","1","3"
"False","0.0","0","57.125","False","0.0036","9","0.2","0","0","9","0.2","0","0","9","0.2","0","0"
"False","0.0","2","95.44","False","0.0037","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"False","0.0","0","99.0833","True","0.0072","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"False","0.0","1","102.2273","False","0.0071","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"False","0.0","0","242.7143","False","0.0189","39","0.2","0","0","39","0.2","0","0","39","0.2","0","0"
"False","0.0","0","242.7143","False","0.028","39","0.2","0","0","39","0.2","0","0","39","0.2","0","0"
"False","0.0","0","92.0","False","0.0073","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","5.0","False","0.0791","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"True","1.0","0","187.8571","False","0.04","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","0","469.6667","False","0.0387","778","0.2","0","13","778","0.2","0","13","778","0.2","0","13"
"False","0.0","0","99.0","False","0.0074","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","2.0","0","204.9","False","0.0404","28","0.2","0","0","28","0.2","0","0","28","0.2","0","0"
"True","1.0","0","501.6667","False","0.0611","309","0.2","0","5","309","0.2","0","5","309","0.2","0","5"
"False","0.0","0","526.6667","False","0.0213","240","0.2","0","2","240","0.2","0","2","240","0.2","0","2"
"False","0.0","0","242.7143","False","0.028","39","0.2","0","0","39","0.2","0","0","39","0.2","0","0"
"False","0.0","1","102.6522","False","0.0074","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"False","0.0","0","242.7143","False","0.028","39","0.2","0","0","39","0.2","0","0","39","0.2","0","0"
"True","1.0","0","213.5","False","0.0307","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","1","192.0909","False","0.0362","164","0.2","0","1","164","0.2","0","1","164","0.2","0","1"
"True","2.0","0","1275.0","False","0.0467","2973","0.2","0","197","2973","0.2","0","197","2973","0.2","0","197"
"True","1.0","0","503.5","False","0.0415","1072","0.2","2","34","1072","0.2","2","34","1072","0.2","2","34"
"False","0.0","1","94.3333","False","0.0074","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","347.5","False","0.0847","220","0.2","0","6","220","0.2","0","6","220","0.2","0","6"
"False","0.0","1","279.4","True","0.0801","1442","0.2","0","11","1442","0.2","0","11","1442","0.2","0","11"
"True","1.0","0","278.4","False","0.039","2118","0.36","423","34","2118","0.36","423","34","2118","0.36","423","34"
"False","0.0","1","95.1667","False","0.0107","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","202.9","False","0.0377","802","0.2","0","18","802","0.2","0","18","802","0.2","0","18"
"True","1.0","0","638.0","False","0.0769","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"False","0.0","1","137.8889","False","0.0283","148","0.2","15","2","148","0.2","15","2","148","0.2","15","2"
"True","1.0","0","75.8333","False","0.0047","21","0.2","0","0","21","0.2","0","0","21","0.2","0","0"
"False","0.0","0","102.2308","False","0.0093","373","0.36","1","1","373","0.36","1","1","373","0.36","1","1"
"True","1.0","0","528.0","False","0.041","778","0.2","0","13","778","0.2","0","13","778","0.2","0","13"
"False","0.0","0","639.0","False","0.0448","549","0.2","0","17","549","0.2","0","17","549","0.2","0","17"
"True","1.0","0","262.8333","True","0.0169","1442","0.2","0","11","1442","0.2","0","11","1442","0.2","0","11"
"False","0.0","0","184.1111","False","0.0345","195","0.2","0","3","195","0.2","0","3","195","0.2","0","3"
"True","1.0","0","781.0","False","0.0581","890","0.2","0","14","890","0.2","0","14","890","0.2","0","14"
"False","0.0","0","1275.0","False","0.0448","640","0.2","0","7","640","0.2","0","7","640","0.2","0","7"
"False","0.0","0","1275.0","False","0.0448","728","0.2","0","6","728","0.2","0","6","728","0.2","0","6"
"False","0.0","0","326.75","False","0.042","240","0.2","0","2","240","0.2","0","2","240","0.2","0","2"
"False","0.0","1","99.2917","False","0.0073","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"False","0.0","0","96.04","False","0.0073","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
