"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"False","0.0","0","266.3333","False","0.0652","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","0","488.0","False","0.0625","327","0.2","0","5","327","0.2","0","5","327","0.2","0","5"
"True","1.0","0","260.0","False","0.031","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","165.0","False","0.0432","293","0.2","1","4","293","0.2","1","4","293","0.2","1","4"
"True","77.0","0","320.5","False","0.0336","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","77.0","0","320.5","False","0.0448","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","False","0.0189","6072","0.2","0","80","6072","0.2","0","80","6072","0.2","0","80"
"True","1.0","0","104.3333","False","0.0192","7","0.2","0","0","7","0.2","0","0","7","0.2","0","0"
"True","1.0","1","488.0","False","0.0423","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"False","0.0","0","488.0","False","0.0421","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","143.0","False","0.0556","911","0.2","0","15","911","0.2","0","15","911","0.2","0","15"
"True","77.0","0","320.5","False","0.0448","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","False","0.0625","274","0.2","0","9","274","0.2","0","9","274","0.2","0","9"
"True","2.0","0","130.0","False","0.0321","575","0.2","0","36","575","0.2","0","36","575","0.2","0","36"
"True","1.0","0","164.0","False","0.0579","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","2.0","0","54.4","False","0.0606","188","0.2","0","0","188","0.2","0","0","188","0.2","0","0"
"False","0.0","0","488.0","False","0.0588","431","0.2","0","6","431","0.2","0","6","431","0.2","0","6"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","77.0","0","320.5","False","0.0336","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","2.0","0","260.0","False","0.0497","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","77.0","1","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","109.2","False","0.0261","1574","0.2","0","9","1574","0.2","0","9","1574","0.2","0","9"
"True","14.0","0","236.0","False","0.0417","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","14.0","0","236.0","False","0.0417","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","58.1","False","0.0066","305","0.2","0","7","305","0.2","0","7","305","0.2","0","7"
"False","0.0","0","488.0","False","0.0408","118","0.2","0","0","118","0.2","0","0","118","0.2","0","0"
"True","1.0","0","123.75","False","0.053","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","2.0","0","488.0","False","0.0818","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","77.0","0","320.5","False","0.0336","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","249.0","False","0.0821","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","1.0","0","488.0","False","0.0442","370","0.2","1","5","370","0.2","1","5","370","0.2","1","5"
"False","0.0","0","104.0","False","0.02","251","0.2","0","0","251","0.2","0","0","251","0.2","0","0"
"True","1.0","0","74.1429","False","0.028","276","0.2","0","0","276","0.2","0","0","276","0.2","0","0"
"True","1.0","0","137.0","False","0.0833","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","1.0","0","488.0","False","0.0602","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","1","110.0","False","0.0315","175","0.2","0","8","175","0.2","0","8","175","0.2","0","8"
"False","0.0","0","269.0","False","0.0584","220","0.2","0","6","220","0.2","0","6","220","0.2","0","6"
"False","0.0","0","130.5","False","0.053","81","0.2","0","1","81","0.2","0","1","81","0.2","0","1"
"False","0.0","0","91.5","False","0.0296","147","0.2","0","1","147","0.2","0","1","147","0.2","0","1"
"False","0.0","1","249.6667","False","0.0296","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","488.0","False","0.0698","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","0","488.0","False","0.0566","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","130.5","False","0.04","28","0.2","0","0","28","0.2","0","0","28","0.2","0","0"
"True","2.0","0","38.4286","False","0.0256","12498","0.2","0","187","12498","0.2","0","187","12498","0.2","0","187"
"False","0.0","0","195.0","False","0.0145","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","False","0.0421","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","201.6667","False","0.0159","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","False","0.0588","346","0.2","0","13","346","0.2","0","13","346","0.2","0","13"
"False","0.0","3","128.75","False","0.0385","396","0.2","1","1","396","0.2","1","1","396","0.2","1","1"
