"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"False","0.0","2","45.75","False","0.0261","1534","0.2","0","15","1534","0.2","0","15","1534","0.2","0","15"
"True","1.0","0","154.6","False","0.061","487","0.2","0","3","487","0.2","0","3","487","0.2","0","3"
"True","7.0","2","223.5","False","0.0457","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"True","1.0","0","195.6667","False","0.0341","3383","0.2","0","40","3383","0.2","0","40","3383","0.2","0","40"
"True","1.0","0","60.3636","False","0.0381","16","0.2","0","0","16","0.2","0","0","16","0.2","0","0"
"False","0.0","0","304.5","False","0.0505","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","178.0","False","0.0333","416","0.2","0","5","416","0.2","0","5","416","0.2","0","5"
"False","0.0","0","44.6667","False","0.0093","373","0.36","1","1","373","0.36","1","1","373","0.36","1","1"
"False","0.0","0","71.5714","False","0.0318","470","0.2","0","20","470","0.2","0","20","470","0.2","0","20"
"False","0.0","0","110.75","False","0.0545","98","0.2","0","0","98","0.2","0","0","98","0.2","0","0"
"False","0.0","0","80.0769","False","0.0281","487","0.2","0","3","487","0.2","0","3","487","0.2","0","3"
"True","1.0","0","17.5455","False","0.0136","26","0.2","1","0","26","0.2","1","0","26","0.2","1","0"
"False","0.0","2","431.0","False","0.0885","1184","0.2","2","38","1184","0.2","2","38","1184","0.2","2","38"
"True","12.0","0","62.1579","False","0.0145","85","0.2","0","1","85","0.2","0","1","85","0.2","0","1"
"False","0.0","0","184.3333","False","0.1131","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"False","0.0","0","76.0909","False","0.0391","373","0.36","1","1","373","0.36","1","1","373","0.36","1","1"
"True","1.0","2","431.0","False","0.0472","123","0.2","0","0","123","0.2","0","0","123","0.2","0","0"
"True","2.0","1","225.3333","False","0.0571","2118","0.36","94","34","2118","0.36","94","34","2118","0.36","94","34"
"False","0.0","0","108.1667","False","0.0257","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"False","0.0","1","46.2143","False","0.0074","22","0.2","0","0","22","0.2","0","0","22","0.2","0","0"
"True","1.0","0","70.75","False","0.0397","802","0.2","0","358","802","0.2","0","358","802","0.2","0","358"
"False","0.0","0","65.75","False","0.0432","544","0.2","0","14","544","0.2","0","14","544","0.2","0","14"
"True","12.0","0","62.4545","False","0.0144","85","0.2","0","1","85","0.2","0","1","85","0.2","0","1"
"False","0.0","2","108.625","False","0.0546","1181","0.2","0","3","1181","0.2","0","3","1181","0.2","0","3"
"True","12.0","0","62.4545","False","0.0144","85","0.2","0","1","85","0.2","0","1","85","0.2","0","1"
"False","0.0","0","52.8333","False","0.0447","80","0.2","0","3","80","0.2","0","3","80","0.2","0","3"
"True","1.0","0","144.3333","False","0.0641","1004","0.2","0","550","1004","0.2","0","550","1004","0.2","0","550"
"False","0.0","0","58.45","False","0.0131","487","0.2","0","3","487","0.2","0","3","487","0.2","0","3"
"False","0.0","0","114.6","False","0.046","15","0.2","0","0","15","0.2","0","0","15","0.2","0","0"
"False","0.0","0","44.8","False","0.0111","373","0.36","1","1","373","0.36","1","1","373","0.36","1","1"
"True","3.0","0","52.6667","False","0.0369","16","0.2","0","0","16","0.2","0","0","16","0.2","0","0"
"True","1.0","0","92.8571","False","0.0238","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"False","0.0","2","431.0","False","0.0952","103941","0.2","2","341","103941","0.2","2","341","103941","0.2","2","341"
